fastqs,sample,library_type
/n/groups/cbdm_lab/nip330/BroadRun211223_copy/IM/211219_SL-NSF_0263_AHMLMFDRXY/BroadRun211223/outs/fastq_path/HMLMFDRXY,GEX,Gene Expression
/n/groups/cbdm_lab/nip330/BroadRun211223_copy/IM/211219_SL-NSF_0263_AHMLMFDRXY/BroadRun211223/outs/fastq_path/HMLMFDRXY,FBC,Antibody Capture
